Date,TCU
9/7/2012,76.49011998
9/8/2012,76.49395664
9/9/2012,76.49779331
9/10/2012,76.50162997
9/11/2012,76.50546664
9/12/2012,76.5093033
9/13/2012,76.51313997
9/14/2012,76.51697663
9/15/2012,76.5208133
9/16/2012,76.52464997
9/17/2012,76.52848663
9/18/2012,76.5323233
9/19/2012,76.53615997
9/20/2012,76.53999663
9/21/2012,76.5438333
9/22/2012,76.54766997
9/23/2012,76.55150664
9/24/2012,76.55534331
9/25/2012,76.55917998
9/26/2012,76.56301665
9/27/2012,76.56685332
9/28/2012,76.57068999
9/29/2012,76.57452666
9/30/2012,76.57836333
10/1/2012,76.5822
10/2/2012,76.58964516
10/3/2012,76.59709031
10/4/2012,76.60453547
10/5/2012,76.61198063
10/6/2012,76.61942579
10/7/2012,76.62687094
10/8/2012,76.6343161
10/9/2012,76.64176126
10/10/2012,76.64920642
10/11/2012,76.65665158
10/12/2012,76.66409674
10/13/2012,76.6715419
10/14/2012,76.67898706
10/15/2012,76.68643222
10/16/2012,76.69387738
10/17/2012,76.70132254
10/18/2012,76.7087677
10/19/2012,76.71621287
10/20/2012,76.72365803
10/21/2012,76.73110319
10/22/2012,76.73854835
10/23/2012,76.74599352
10/24/2012,76.75343868
10/25/2012,76.76088384
10/26/2012,76.76832901
10/27/2012,76.77577417
10/28/2012,76.78321934
10/29/2012,76.7906645
10/30/2012,76.79810967
10/31/2012,76.80555483
11/1/2012,76.813
11/2/2012,76.81505
11/3/2012,76.81709999
11/4/2012,76.81914999
11/5/2012,76.82119998
11/6/2012,76.82324998
11/7/2012,76.82529998
11/8/2012,76.82734997
11/9/2012,76.82939997
11/10/2012,76.83144997
11/11/2012,76.83349997
11/12/2012,76.83554996
11/13/2012,76.83759996
11/14/2012,76.83964996
11/15/2012,76.84169996
11/16/2012,76.84374996
11/17/2012,76.84579996
11/18/2012,76.84784996
11/19/2012,76.84989996
11/20/2012,76.85194996
11/21/2012,76.85399997
11/22/2012,76.85604997
11/23/2012,76.85809997
11/24/2012,76.86014997
11/25/2012,76.86219998
11/26/2012,76.86424998
11/27/2012,76.86629998
11/28/2012,76.86834999
11/29/2012,76.87039999
11/30/2012,76.87245
12/1/2012,76.8745
12/2/2012,76.86971612
12/3/2012,76.86493225
12/4/2012,76.86014837
12/5/2012,76.8553645
12/6/2012,76.85058062
12/7/2012,76.84579675
12/8/2012,76.84101287
12/9/2012,76.836229
12/10/2012,76.83144513
12/11/2012,76.82666125
12/12/2012,76.82187738
12/13/2012,76.81709351
